Retailprice,VehicleType,Engine,Cylinders,Horsepower,CityMPG,HwyMPG
10280,Other,1.6,4,104,26,33
10539,Other,1.6,4,103,29,33
10760,Other,1.5,4,108,35,43
10995,Other,2.2,4,140,26,35
11155,Other,1.6,4,104,25,32
11290,Other,1.5,4,108,35,43
11560,Other,1.5,4,108,33,39
11690,Other,1.6,4,103,28,34
11839,Other,1.6,4,103,29,33
11905,Family,1.6,4,104,26,33
11939,Other,1.6,4,103,29,33
12269,Other,2,4,119,24,31
12360,Other,1.8,4,124,24,32
12585,Other,1.6,4,103,28,34
12740,Other,1.8,4,126,28,35
12800,Pickup,2.4,4,142,22,27
12884,Other,2.3,4,155,25,31
12965,Other,1.5,4,108,32,38
13270,Other,2,4,130,26,33
13270,Other,1.7,4,115,32,38
13580,Other,1.8,4,124,24,32
13670,Other,2,4,132,29,36
13730,Other,2,4,110,27,36
13839,Other,2,4,138,26,34
14085,Other,1.8,4,130,32,40
14165,Family,1.5,4,108,31,35
14170,Other,1.7,4,117,36,44
14300,Other,2.2,4,140,26,35
14385,Pickup,2.3,4,143,24,29
14500,Other,2.3,4,155,25,31
14610,Other,2.2,4,140,26,37
14630,Other,1.8,4,124,24,32
14740,Other,1.8,4,126,28,35
14810,Other,2.2,4,140,26,37
14840,Pickup,2.3,4,143,24,29
14850,Other,2.2,4,140,26,35
15030,Other,1.8,4,130,32,40
15040,Other,2,4,132,29,36
15295,Other,1.8,4,130,32,40
15389,Other,2,4,138,26,34
15389,Other,2,4,138,26,34
15460,Other,2,4,130,26,33
15495,Other,2.2,4,140,24,33
15568,Other,2,4,119,22,30
15580,Other,2,4,130,26,33
15825,Other,2.2,4,140,26,35
15850,Other,1.7,4,115,32,38
16040,Other,2.4,4,138,23,30
16350,Other,2.2,4,140,26,35
16385,Other,2.2,4,140,26,37
16495,Pickup,3.4,6,190,16,20
16497,Family,2.3,4,155,24,29
16530,Pickup,2.8,4,175,19,24
16695,Family,1.8,4,130,29,36
16999,Other,1.6,4,115,28,37
17045,Family,1.8,4,130,29,36
17163,SUV,2.5,6,165,19,22
17262,Other,2.5,6,155,20,27
17475,Family,2,4,130,26,33
17630,Pickup,3.7,6,210,16,22
17640,Other,2.5,4,165,23,28
17735,Other,2.2,4,140,24,33
17750,Other,1.7,4,127,32,37
17985,Other,2.4,4,150,22,29
18345,Sport,3.8,6,193,20,29
18435,Other,2.7,6,170,20,27
18690,SUV,2.4,4,160,21,24
18715,Other,2,4,115,24,31
18739,Sport,2.7,6,172,19,26
18760,Pickup,2.8,4,175,18,23
18820,Other,2.4,4,150,21,28
18825,Other,2.2,4,140,24,32
18892,SUV,2.4,4,160,21,27
18995,Other,2.2,4,145,24,34
19005,Family,2,4,115,24,30
19090,Other,2.4,4,150,22,30
19110,Other,2,3,73,60,66
19135,Other,2,4,170,21,28
19240,Other,2.5,4,175,21,26
19270,Other,2.3,4,160,24,32
19339,Other,2.7,6,170,19,27
19479,Pickup,3.3,6,180,17,20
19490,Other,2,4,160,26,30
19560,Other,2.4,4,157,24,33
19635,Other,2.4,4,157,24,33
19635,SUV,3.5,6,192,16,19
19825,Other,1.8,4,180,24,31
19860,Other,2.4,4,160,26,34
19860,SUV,2.4,4,160,21,25
19945,Other,2.5,4,165,22,28
19999,Other,1.6,4,163,25,34
20130,SUV,2.4,4,150,20,24
20140,Other,1.4,4,93,46,51
20215,Pickup,3.7,6,215,16,21
20220,Other,2.4,4,150,21,28
20255,SUV,2.5,6,165,19,22
20290,SUV,2.4,4,161,22,27
20300,Pickup,3.7,6,210,16,22
20310,Pickup,4.3,6,200,15,21
20320,Other,3,6,155,20,27
20339,Other,2.7,6,170,19,27
20370,Other,3.5,6,200,22,30
20445,Other,2.5,4,165,21,28
20449,SUV,3.2,6,193,17,21
20510,Other,1.5,4,110,59,51
20585,SUV,2.2,4,143,21,26
20615,Family,3.5,6,195,16,22
20939,SUV,3.3,6,180,17,20
21055,Other,1.9,4,100,38,46
21055,Other,1.8,4,150,24,31
21087,SUV,2,4,130,22,25
21410,Other,3,6,182,20,28
21445,Family,2.5,4,165,21,28
21589,SUV,2.7,6,173,20,26
21595,Other,3,6,155,20,27
21595,SUV,3.4,6,185,19,26
21795,Family,2.4,4,150,20,26
21825,Other,3.4,6,180,21,32
21840,Other,2.7,6,200,21,28
21900,Other,3.4,6,180,21,32
21965,Other,3.3,6,225,20,29
22000,Other,2.4,4,150,22,29
22010,Pickup,4.6,8,231,15,19
22035,Other,2.7,6,200,21,29
22180,Other,3.1,6,175,20,30
22225,Family,3.5,6,200,22,30
22260,Other,2.4,4,160,26,34
22290,Family,3,6,155,19,26
22350,Pickup,4,6,207,15,19
22388,Sport,1.8,4,142,23,28
22395,Other,3.8,6,200,20,30
22450,Other,3.4,6,175,20,29
22515,SUV,3,6,201,18,23
22570,Sport,1.8,4,180,24,33
22595,Family,3,6,155,19,26
22735,Other,3,6,201,19,26
22775,Other,3,6,210,21,29
23215,Other,2,4,115,24,30
23290,Other,3.5,6,245,21,26
23495,Family,3.3,6,230,19,27
23495,Other,3.5,6,200,23,32
23560,Family,2.2,4,140,24,34
23675,Other,3.4,6,170,20,29
23699,SUV,2.7,6,185,18,22
23760,Other,3,6,240,21,30
23785,Other,2.8,6,200,21,30
23820,Other,2,4,200,24,31
23845,Family,3.4,6,185,19,26
23895,Other,3,6,201,19,26
23895,Family,2.5,4,165,21,28
23955,Other,1.8,4,170,22,31
24130,Other,2.7,6,200,21,29
24225,Other,3.8,6,200,18,28
24295,Other,3.8,6,200,20,30
24345,Other,4.6,8,224,17,25
24520,Pickup,2.5,4,165,21,28
24589,Other,3.5,6,194,17,26
24695,Other,4.6,8,224,17,25
24780,Family,3.5,6,240,19,26
24885,Other,3.5,6,232,18,27
24895,Other,3.8,6,200,20,30
24950,Family,3.5,6,240,18,25
24955,Family,1.8,4,170,22,31
25000,Other,3.8,6,200,20,30
25045,Sport,2,4,227,20,27
25092,Sport,3,6,210,21,28
25130,Sport,1.8,4,138,26,32
25135,Other,1.9,4,170,22,29
25193,Sport,1.8,4,142,23,28
25215,Other,2.4,4,150,22,30
25395,Pickup,4.3,6,190,15,19
25520,SUV,4,6,190,16,19
25640,Family,4.3,6,190,16,20
25645,Other,2.5,4,165,21,28
25700,Other,3.8,6,230,18,26
25717,Pickup,4.8,8,285,17,20
25920,Other,3,6,210,21,29
25935,Pickup,3.4,6,190,14,17
25940,Other,1.8,4,170,22,31
25955,Other,2.4,4,220,21,27
25995,SUV,2.5,6,174,18,21
26060,Other,1.8,4,189,22,30
26135,Family,1.9,4,170,22,29
26189,Other,3.5,6,194,17,26
26395,Family,4.3,6,190,14,17
26470,Other,3.8,6,205,20,29
26510,Other,3.3,6,225,20,29
26545,SUV,3.4,6,185,19,26
26560,Other,3,6,210,21,29
26650,Pickup,5.6,8,305,14,18
26860,Other,3.5,6,232,19,27
26910,Sport,3.5,6,287,20,26
26930,Family,3.9,6,193,17,23
26960,Other,3,6,240,21,30
26990,Other,2.4,4,200,22,29
26992,Sport,3,6,210,21,28
27020,Family,3.4,6,185,19,26
27145,Other,2.5,4,165,20,27
27339,SUV,3.5,6,240,16,21
27370,Other,4.6,8,224,17,25
27450,Family,3.5,6,240,18,25
27490,Family,3.3,6,180,19,26
27490,Other,3.5,6,265,20,28
27560,SUV,3.5,6,240,17,22
27710,SUV,4,6,245,18,21
27905,SUV,4,6,195,16,21
27930,SUV,3.3,6,230,18,24
27995,Other,3.8,6,240,18,28
28345,Other,3.8,6,240,18,28
28370,Other,3.2,6,215,19,26
28495,Other,2.5,6,184,20,29
28495,Other,3.5,6,260,18,26
28739,Family,3.5,6,245,20,25
28750,Family,3,6,200,18,25
28790,Family,3.4,6,185,19,26
28800,Family,3.3,6,230,19,27
29282,Other,3.5,6,205,18,25
29345,Other,3,6,212,19,26
29380,Sport,4.6,8,260,17,25
29440,Other,3.5,6,265,20,28
29562,Sport,2,4,271,18,26
29595,Other,4.6,8,224,17,25
29670,SUV,4,6,210,15,20
29795,Other,3.5,6,280,18,26
29865,Other,3.5,6,250,18,27
29995,SUV,4,6,210,16,21
29995,Other,2.5,6,192,18,26
30245,Other,2.5,6,184,19,27
30295,SUV,4.2,6,275,16,21
30315,Other,4.6,8,239,17,25
30492,SUV,3.8,6,215,17,21
30795,Other,2.5,6,184,20,29
30835,Other,3.6,6,255,18,25
30860,Other,2,4,210,20,28
30895,Other,4.6,8,224,17,25
30920,Other,3,6,210,21,29
30950,Other,2.7,6,200,21,28
31045,Other,3,6,215,18,25
31145,Other,3.5,6,255,19,26
31230,Family,3.5,6,250,17,23
31370,Family,3.4,6,185,18,24
31545,Other,3,6,212,19,26
31545,Sport,2.5,4,300,18,24
31745,Other,2.5,5,208,20,27
31840,Other,3,6,220,20,28
31849,SUV,4.2,6,275,15,20
31890,SUV,4.2,6,275,15,19
32235,SUV,4.7,8,230,15,21
32245,Other,3.8,6,205,20,29
32280,Other,2.6,6,168,20,25
32350,Other,3.3,6,225,20,29
32415,Other,3,6,215,18,24
32445,Other,3.5,6,260,18,26
32455,Family,3,6,215,18,24
32495,Other,3,6,232,20,26
32660,Family,3.8,6,215,18,25
32780,Family,3.5,6,240,18,25
32845,Family,2.5,6,184,19,26
33112,SUV,3.8,6,215,15,19
33180,Other,2.8,6,190,19,26
33195,Other,3.2,6,270,20,28
33260,Sport,2.2,4,240,20,25
33295,Other,3.5,6,255,18,27
33360,Other,2,4,210,20,28
33430,Other,3,6,220,17,26
33480,Other,2.6,6,168,19,25
33540,Pickup,5.4,8,300,14,18
33780,Family,2.6,6,168,19,25
33840,SUV,5.6,8,305,13,19
33895,Sport,2.5,6,184,20,28
33995,Family,4.2,6,201,16,23
33995,Other,3,6,227,18,25
34390,Sport,3.5,6,287,20,26
34480,Other,3,6,220,18,25
34495,Other,4.6,8,302,17,23
34495,Sport,3.2,6,215,17,25
34560,SUV,4.6,8,232,15,19
34845,Other,2.3,5,247,20,28
34895,Family,3.5,6,280,16,22
35105,Other,2.3,4,220,21,29
35145,Family,2.5,5,208,20,27
35495,Other,3,6,225,20,30
35515,SUV,3.2,6,220,15,20
35545,Other,3.8,6,205,20,29
35695,SUV,4.7,8,240,14,17
35725,SUV,4.8,8,285,16,19
35920,Other,3.2,6,215,19,26
35940,Other,1.8,4,170,23,30
35940,Sport,1.8,4,180,20,28
36100,Pickup,5.3,8,295,14,18
36395,Family,4.5,8,315,15,19
36640,Other,3,6,220,20,27
36895,Other,3,6,232,20,26
36945,SUV,3.5,6,265,17,23
36995,Other,3,6,225,20,30
37000,SUV,3,6,225,16,23
37245,Other,3,6,225,20,29
37390,Sport,1.8,4,225,20,28
37530,Sport,3.9,8,280,17,24
37560,Other,2.5,5,300,18,25
37630,Other,3.2,6,215,20,26
37730,Other,2.9,6,208,20,28
37885,Other,2.5,5,194,20,27
37895,SUV,4.2,6,275,15,21
37995,Other,2.5,6,184,19,27
38380,Family,3.8,6,215,18,25
39195,SUV,3.3,6,230,18,24
39235,Other,4,8,270,18,25
39250,SUV,4.6,8,217,12,16
39465,Other,2.3,4,250,21,29
39640,Other,3,6,220,18,25
39995,Other,2.5,6,184,19,28
40095,Other,3.9,8,280,17,24
40235,Family,4,8,270,18,25
40320,Sport,2.3,4,192,21,29
40340,Pickup,6,8,300,13,17
40565,Other,2.4,5,197,21,28
40590,Sport,3.2,6,250,21,29
40670,Other,2,4,210,21,29
40720,Other,3.8,6,240,18,28
40840,Family,3,6,220,18,25
40845,Family,2.3,4,250,19,29
41010,Other,3,6,220,18,25
41045,Sport,3,6,225,21,29
41250,SUV,2.9,6,268,15,20
41465,SUV,5.3,8,295,14,18
41815,Other,4.6,8,239,17,25
41995,Pickup,5.3,8,300,16,19
42490,Other,3,6,220,20,27
42565,Other,2.3,5,242,20,26
42735,SUV,5.3,8,295,14,18
42840,Other,2.7,6,250,18,25
42845,Other,4.5,8,340,17,23
42915,SUV,4.6,8,302,13,18
43175,Other,2,4,210,21,30
43365,Sport,2.7,6,228,20,29
43495,Other,3.9,8,280,17,24
43755,Other,3.5,6,225,18,24
43895,Other,3,6,235,18,26
44240,Other,3,6,220,18,25
44295,Other,3,6,225,19,28
44535,Sport,5.7,8,350,18,25
44925,Other,4.6,8,239,17,25
44995,Other,3,6,225,20,30
45210,Other,2.9,6,268,19,26
45445,Other,4.6,8,275,18,26
45700,SUV,4.7,8,235,15,19
45707,Other,3.2,6,215,20,26
46100,Other,3.5,6,225,18,24
46265,SUV,6,8,325,13,17
46470,SUV,5,8,288,14,17
46995,SUV,4.6,8,320,16,21
47955,Other,4.6,8,275,18,26
48040,Other,4.2,8,340,14,20
48170,Other,3.2,6,221,19,27
48195,Sport,3.2,6,333,16,24
48450,Other,4.3,8,300,18,23
49090,Family,4.2,8,340,15,21
49690,Other,4.2,8,300,17,24
49995,SUV,6,8,316,10,12
49995,Other,4.2,8,294,18,28
50470,Other,4.6,8,239,17,25
50595,Other,4.6,8,300,18,26
50670,Family,3.2,6,221,19,27
51535,Sport,5.7,8,350,18,25
52120,Other,3.2,6,349,16,21
52195,SUV,4.4,8,325,16,22
52365,Sport,3.2,6,258,18,26
52545,Other,4.5,8,340,17,23
52775,SUV,5.4,8,300,13,18
52795,SUV,5.3,8,295,14,18
52800,Other,5,8,302,17,22
52975,Pickup,6,8,345,13,17
54765,SUV,4.7,8,325,13,17
54995,Other,4.4,8,325,18,26
55750,Other,4.3,8,290,18,25
56170,Sport,3.2,6,349,17,22
56595,Sport,3.2,6,333,16,23
56665,SUV,4.5,8,340,14,18
57270,Other,5,8,302,16,20
59995,Other,4.2,8,294,18,28
60670,Family,5,8,302,16,24
63120,Other,4.2,8,390,17,24
63200,Sport,4.3,8,300,18,23
64800,SUV,4.7,8,235,13,17
68995,Other,4.2,8,294,18,28
69190,Other,4.2,8,330,17,24
69195,Other,4.4,8,325,18,26
69995,Sport,4.2,8,294,18,26
72250,SUV,4.4,8,282,12,16
73195,Other,4.4,8,325,18,26
74320,Other,4.3,8,275,18,26
74995,Other,4.2,8,390,17,24
74995,Sport,4.2,8,294,18,26
76200,Sport,4.6,8,320,17,25
76765,Sport,3.6,6,315,18,26
76870,SUV,5,8,292,13,14
79165,Sport,3.6,6,315,18,26
81995,Sport,4.2,8,390,16,23
84165,Sport,3.6,6,315,17,24
84600,Sport,4.2,8,450,15,22
86970,Other,5,8,302,16,24
86995,Sport,4.2,8,390,16,23
89765,Sport,3.2,6,290,17,24
90520,Sport,5,8,302,16,23
94820,Other,5,8,302,16,24
121770,Sport,5.5,8,493,14,21
126670,Sport,5.5,12,493,13,19
128420,Other,5.5,12,493,13,19
192465,Sport,3.6,6,477,17,24
